zip,lat,lon
14043,42.904958,-78.7006
13827,42.120274,-76.25874
14739,42.192384,-78.14308
11703,40.733398,-73.32257
11707,40.922326,-72.637078
12442,42.222061,-74.23418
13334,42.83917,-75.65482
13626,43.859025,-75.72942
10965,41.063329,-74.01734
12151,42.932326,-73.79363
12195,42.479384,-73.474809
14617,43.223213,-77.59721
11716,40.770042,-73.11376
12719,41.480326,-74.92694
13479,43.053769,-75.271559
10072,40.780751,-73.977182
10166,40.754591,-73.976238
10998,41.334034,-74.54593
11560,40.881957,-73.59417
14150,43.001907,-78.8631
12197,42.610314,-74.72401
13147,42.774714,-76.57045
12771,41.374734,-74.66315
12810,43.484741,-73.89151
13350,43.038149,-74.9846
13655,44.98184,-74.67374
13788,42.368357,-74.66452
14717,42.37074,-78.19335
13459,42.774077,-74.58404
14642,43.286024,-77.684264
10986,41.271543,-73.98676
11763,40.820786,-72.98375
12139,43.40276,-74.56972
12509,41.643599,-73.847176
13503,43.101869,-75.231158
13135,43.235916,-76.31339
14301,43.096555,-79.03925
13082,43.099547,-75.9619
10506,41.195778,-73.62777
13312,43.689564,-75.27252
12789,41.708062,-74.5698
14472,42.964593,-77.5919
11783,40.679752,-73.48959
12245,42.614852,-73.970812
12861,43.74531,-73.41569
13860,42.183045,-74.925617
14612,43.256462,-77.66183
13840,42.039512,-76.400376
14754,42.020028,-78.20368
14901,42.091924,-76.79217
12305,42.814476,-73.94337
12402,41.878801,-74.345684
13843,42.533274,-75.38008
10607,41.041191,-73.80953
13664,44.585561,-75.64797
14482,42.979887,-77.97053
14214,42.941407,-78.83741
10268,40.780751,-73.977182
10917,41.322344,-74.12354
12784,41.676139,-74.6217
13104,42.987329,-75.96763
13208,43.074566,-76.14747
10547,41.314676,-73.85118
11937,40.995384,-72.18564
12527,41.520249,-73.933259
13658,44.744462,-75.28123
13688,43.951666,-75.767772
14138,42.372077,-79.05552
12233,42.614852,-73.970812
12515,41.681096,-74.06421
13638,44.021094,-75.76113
14054,42.903676,-78.13481
13333,42.843048,-74.80882
13820,42.469761,-75.05192
14437,42.576771,-77.71925
14506,42.999201,-77.50263
14606,43.168062,-77.68132
14737,42.335628,-78.43114
12075,42.305793,-73.6514
12489,41.757766,-74.35392
12418,42.357579,-74.15136
13133,42.216968,-75.724015
11417,40.675534,-73.84476
10940,41.449364,-74.43951
12930,44.731571,-74.53485
14228,43.023347,-78.79494
10706,40.992084,-73.8729
13851,42.206745,-75.74488
13202,43.045066,-76.14994
14602,43.286024,-77.684264
13217,43.02143,-76.197701
12593,42.243991,-73.641076
11050,40.833246,-73.69309
11418,40.698485,-73.83365
11746,40.821698,-73.37553
13733,42.292692,-75.47528
12737,41.48397,-74.81186
11756,40.724883,-73.51739
11792,40.953261,-72.8368
10650,41.013696,-73.705975
12967,44.784144,-74.66213
13026,42.758088,-76.66998
14168,42.509271,-78.999471
10910,41.386195,-74.125718
13649,44.921678,-74.706763
14006,42.633375,-79.04567
13812,42.024157,-76.36558
12050,42.317154,-73.748555
12252,42.614852,-73.970812
14572,42.569876,-77.57637
12239,42.614852,-73.970812
12734,41.734913,-74.75013
13143,43.235909,-76.71545
14273,42.75495,-78.784908
12883,43.858226,-73.45414
13354,43.261526,-75.25705
12863,43.067531,-73.93002
14781,42.160982,-79.59738
12748,41.774223,-74.92211
11743,40.867498,-73.41146
12801,43.312104,-73.64825
13610,43.818705,-75.480342
11944,41.103838,-72.36729
12701,41.653071,-74.69748
10992,41.428269,-74.16178
14113,42.672162,-78.33745
14771,42.737181,-77.519784
14788,42.062125,-78.377974
10964,41.011464,-73.92585
12740,41.85304,-74.52915
12779,41.705649,-74.62985
11043,40.754757,-73.601772
13813,42.163814,-75.55149
11210,40.627946,-73.94552
10012,40.72596,-73.99834
12008,42.853043,-73.9029
12747,41.752458,-74.66996
10094,40.780751,-73.977182
10259,40.780751,-73.977182
12458,41.802898,-74.40025
14048,42.479471,-79.32805
13740,42.274238,-74.75464
14814,42.150834,-76.94805
10308,40.551353,-74.15098
13694,44.866754,-75.17201
14030,42.562386,-78.49087
14129,42.469165,-79.01069
14726,42.251075,-79.03785
11030,40.796752,-73.68935
12023,42.610306,-74.15692
12222,42.692909,-73.838035
10502,41.011324,-73.84152
12777,41.562141,-74.71252
14753,42.035792,-78.61789
10039,40.826181,-73.9371
12456,42.034256,-73.99876
14425,42.985007,-77.346
11372,40.750146,-73.88433
14590,43.234753,-76.8252
12183,42.743289,-73.69482
13319,43.029669,-75.27211
11582,40.754757,-73.601772
13625,44.537321,-74.92847
12782,41.881485,-74.430063
13437,43.572876,-75.81709
11367,40.728614,-73.82145
12434,42.368009,-74.50137
13425,42.964774,-75.47889
13309,43.484783,-75.33559
12767,41.719016,-74.755373
13477,43.035057,-75.50381
10138,40.780751,-73.977182
10160,40.780751,-73.977182
12181,42.738678,-73.673862
06390,41.261936,-72.00708
14712,42.170787,-79.37689
10925,41.211794,-74.29778
12083,42.430684,-74.03728
13845,42.065842,-76.381946
14080,42.640351,-78.53494
12055,42.614852,-73.970812
14650,43.286024,-77.684264
12167,42.414519,-74.59577
12751,41.679152,-74.657
11971,41.059209,-72.42041
13426,43.562757,-75.996773
10422,40.828279,-73.869454
12092,42.691779,-74.37513
12243,42.614852,-73.970812
14511,43.002612,-77.86458
12435,41.725808,-74.52106
12847,43.97643,-74.56669
13111,43.258952,-76.61441
14839,42.129806,-77.63705
10918,41.35648,-74.26072
11211,40.71209,-73.95427
12482,42.270559,-73.95729
13115,43.397671,-76.482365
13417,43.102469,-75.29566
14770,42.047063,-78.30659
11695,40.651378,-73.870779
12759,41.780299,-74.65618
13360,43.744906,-74.77476
10570,41.132367,-73.78922
12758,41.920201,-74.7857
13157,43.209147,-75.72307
14134,42.534854,-78.52113
12427,42.167622,-74.15306
10149,40.780751,-73.977182
10602,41.119008,-73.732996
11238,40.680145,-73.96257
11727,40.884895,-73.00501
13621,44.850439,-75.06915
14430,43.286024,-77.684264
10538,40.933089,-73.75615
13061,42.859332,-75.74261
14741,42.220602,-78.6337
12724,41.858278,-74.95034
13493,43.421597,-75.90529
13617,44.58249,-75.14417
10040,40.858704,-73.92853
10017,40.752159,-73.97231
10099,40.780751,-73.977182
11960,40.803923,-72.70421
13650,43.82212,-76.2127
14219,42.790708,-78.82717
14872,42.218224,-76.84694
10286,40.714231,-74.011895
12230,42.614852,-73.970812
13697,44.755383,-74.81213
14063,42.425683,-79.3371
13090,43.152017,-76.22068
13757,42.411895,-74.91372
14413,43.222735,-76.982149
11360,40.780386,-73.78005
14215,42.934757,-78.8118
11042,40.760128,-73.69379
11542,40.864757,-73.62609
13156,43.337718,-76.6729
12309,42.800276,-73.88096
10162,40.769334,-73.94893
14740,42.230692,-79.17185
13848,42.214705,-75.727699
13850,42.075874,-76.02837
11218,40.644552,-73.97595
12776,41.94836,-74.94475
12406,42.130111,-74.57574
12460,42.406464,-74.15692
14809,42.419988,-77.43392
12494,41.961316,-74.27687
12432,41.949795,-74.003246
13450,42.69983,-74.81731
14270,42.768413,-78.887094
10528,40.972667,-73.71886
12196,42.631625,-73.61619
13123,43.236407,-75.776918
14083,42.676913,-78.44075
14476,43.339304,-78.02581
12463,42.174411,-74.01599
12958,44.958106,-73.58022
13615,44.005613,-75.98315
14141,42.516248,-78.68944
14167,42.750175,-78.32283
14623,43.087613,-77.6352
13864,42.298203,-76.38844
14876,42.429721,-76.925846
11233,40.676938,-73.91858
12051,42.353773,-73.82774
14061,42.594627,-79.08404
14645,43.286024,-77.684264
12024,42.494981,-73.510676
13362,42.980334,-75.518569
13835,42.396659,-76.15709
12825,42.973468,-74.406393
14626,43.214613,-77.70626
12438,42.183045,-74.925617
12538,41.779541,-73.90155
13809,42.392104,-75.41093
10981,41.323172,-74.288565
14443,42.900966,-77.42331
14414,42.899233,-77.73372
10562,41.176837,-73.84741
14226,42.968057,-78.80047
12175,42.559096,-74.55282
13072,42.763823,-75.75188
11731,40.865998,-73.31796
14170,42.692304,-78.67147
12208,42.654978,-73.80053
12182,42.785887,-73.66221
11368,40.747106,-73.85838
11697,40.560167,-73.90891
12164,43.515611,-74.37431
12514,41.874183,-73.76727
13316,43.377083,-75.74261
10560,41.32797,-73.61306
14885,42.041973,-77.5632
12015,42.279649,-73.81701
11222,40.726302,-73.94559
11252,40.645099,-73.945032
13630,44.494708,-75.29944
12570,41.614667,-73.67709
13753,42.302716,-74.91667
14481,42.780121,-77.91499
13611,43.778046,-76.125914
14840,42.453547,-77.18019
12836,43.750773,-73.51881
13428,42.923583,-74.55536
14047,42.694598,-78.98151
12465,42.136293,-74.473639
13163,43.078461,-75.701639
13904,42.110927,-75.85223
13654,44.563604,-75.48794
10466,40.89095,-73.84702
12065,42.853676,-73.78445
12416,42.105611,-74.29143
13139,42.742057,-76.628454
11732,40.848766,-73.53478
11739,40.922326,-72.637078
13388,43.606444,-75.103186
12407,42.321453,-74.33926
12733,41.732505,-74.60896
12185,42.884779,-73.53703
12474,42.285644,-74.59011
10962,41.047996,-73.96215
12938,41.773053,-73.856116
13635,44.314998,-75.26149
13790,42.125725,-75.96686
10550,40.907607,-73.83709
10915,41.555634,-74.328805
13166,43.056292,-76.5563
14433,43.07351,-76.87557
11733,40.932053,-73.10666
12159,42.646978,-73.87151
12249,42.614852,-73.970812
10123,40.751489,-73.990537
10946,41.507236,-74.412119
12822,43.248892,-73.85172
14558,42.855409,-77.687643
10310,40.63212,-74.11551
11026,40.754757,-73.601772
12009,42.698692,-74.03148
12018,42.62742,-73.53494
10933,41.365286,-74.510918
12154,42.925765,-73.60664
12792,41.522825,-74.93164
12992,44.819829,-73.51156
13613,44.864624,-74.75386
13669,44.683636,-75.49024
14585,42.901162,-77.54848
14615,43.204695,-77.65194
11571,40.754757,-73.601772
12496,42.326918,-74.24657
13145,43.653475,-76.13214
10537,41.337335,-73.88689
12851,43.841369,-74.03747
12860,43.719612,-73.81116
13116,43.077067,-76.00695
13140,43.049797,-76.66055
14174,43.247054,-79.02562
10168,40.751933,-73.976794
11219,40.632449,-73.99629
14420,43.214261,-77.93937
11530,40.725257,-73.64056
11779,40.818826,-73.1187
12750,41.729581,-74.961146
13763,42.206745,-75.74488
12179,42.71144,-73.525561
14058,43.091886,-78.15151
12484,41.850294,-74.16619
12760,41.901849,-75.10493
10048,40.712086,-74.01227
13326,42.703091,-74.91413
11780,40.884394,-73.15868
10633,41.119008,-73.732996
11572,40.636286,-73.6374
12441,41.878801,-74.345684
13612,44.003136,-75.77839
14537,43.033002,-77.157465
14609,43.175113,-77.56272
12031,42.770985,-74.44694
12823,43.178983,-73.40767
13745,42.173775,-75.872839
14038,42.947259,-78.474444
14555,43.269332,-76.9876
11254,40.645099,-73.945032
12033,42.534631,-73.71327
12766,41.815316,-74.97995
11499,40.651378,-73.870779
11963,40.99628,-72.31074
11433,40.696538,-73.78734
12111,42.614852,-73.970812
12919,44.965887,-73.43636
10803,40.902221,-73.80717
13744,42.250715,-75.91871
12028,42.932315,-73.44521
12523,42.080964,-73.77856
